# Constructed from biom file
#OTU ID	A12	A2	A3	A6	A7	C10	C10-MUCUS	C11	C14	C17	C18	C3	C3-MUCUS	M13	M14	M18	N10	N11	N12	N7	V14	V16	V17	X4	X5	X7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter_865974;s__Odoribacter laneus	349.0	26.0	0.0	44.0	0.0	45.0	147.0	178.0	40.0	82.0	15.0	7.0	8.0	238.0	158.0	510.0	10.0	210.0	115.0	3.0	0.0	3.0	0.0	121.0	74.0	0.0
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353;s__Desulfovibrio_R_446353 trichonymphae	42.0	9.0	0.0	0.0	5.0	210.0	0.0	517.0	27.0	18.0	14.0	303.0	0.0	32.0	188.0	78.0	281.0	134.0	42.0	330.0	0.0	0.0	0.0	20.0	16.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp004102805	153.0	96.0	9.0	7.0	20.0	94.0	0.0	413.0	139.0	165.0	265.0	79.0	0.0	81.0	334.0	220.0	111.0	132.0	51.0	147.0	0.0	144.0	4.0	18.0	195.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275	97.0	0.0	0.0	0.0	0.0	154.0	2657.0	541.0	81.0	67.0	14.0	45.0	0.0	89.0	33.0	169.0	27.0	112.0	166.0	7.0	0.0	13.0	0.0	38.0	48.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp011959565	146.0	134.0	0.0	10.0	0.0	194.0	23.0	674.0	173.0	666.0	115.0	387.0	6.0	62.0	144.0	186.0	303.0	147.0	127.0	250.0	0.0	362.0	0.0	3.0	152.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	80.0	0.0	0.0	0.0	0.0	9.0	1087.0	116.0	0.0	16.0	0.0	88.0	3.0	27.0	104.0	131.0	45.0	119.0	17.0	136.0	0.0	0.0	0.0	0.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_595427;f__Burkholderiaceae_A_595427;g__Parasutterella;s__Parasutterella sp009767915	286.0	6.0	0.0	25.0	0.0	3.0	0.0	38.0	6.0	21.0	0.0	0.0	5.0	144.0	284.0	434.0	20.0	241.0	74.0	6.0	25.0	30.0	0.0	29.0	13.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;__	217.0	25.0	0.0	0.0	0.0	12.0	505.0	26.0	68.0	23.0	3.0	0.0	10.0	125.0	107.0	263.0	0.0	174.0	65.0	0.0	27.0	1668.0	0.0	0.0	46.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;__	165.0	0.0	0.0	0.0	0.0	18.0	290.0	158.0	0.0	5.0	0.0	37.0	7.0	92.0	310.0	247.0	23.0	148.0	70.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	21.0	16.0	0.0	45.0	0.0	199.0	105.0	715.0	153.0	151.0	0.0	10.0	0.0	95.0	9.0	105.0	32.0	50.0	19.0	0.0	27.0	102.0	0.0	32.0	67.0	0.0
