Sample Name Full,% GC,? 30X,Coverage,% Aligned,M Aligned,Error rate,% Assigned,M Assigned,aligned,Sample Name
M13_S13_BAMqc,49%,0.20%,0.0X,,,,,,0,M13_S13_
M14_S14.sort,,,,92.00%,22.8,0.03%,46.40%,14,0.92,M14_S14
M14_S14_BAMqc,47%,0.20%,0.0X,,,,,,0,M14_S14_
M15_S15.sort,,,,91.70%,23,0.02%,49.20%,14.8,0.917,M15_S15
M15_S15_BAMqc,49%,0.30%,0.0X,,,,,,0,M15_S15_
M16_S16.sort,,,,86.30%,16.8,0.04%,40.40%,9.7,0.863,M16_S16
M16_S16_BAMqc,49%,0.20%,0.0X,,,,,,0,M16_S16_
M17_S17.sort,,,,94.90%,19.8,0.02%,54.70%,13.7,0.949,M17_S17
M17_S17_BAMqc,48%,0.20%,0.0X,,,,,,0,M17_S17_
M18_S18.sort,,,,94.80%,23.3,0.02%,54.60%,15.8,0.948,M18_S18
M18_S18_BAMqc,48%,0.30%,0.0X,,,,,,0,M18_S18_
M1_S1.sort,,,,94.10%,23.2,0.02%,54.10%,15.8,0.941,M1_S1
M1_S1_BAMqc,49%,0.30%,0.0X,,,,,,0,M1_S1_
M2_S2.sort,,,,93.20%,19.2,0.03%,49.40%,12.1,0.932,M2_S2
M2_S2_BAMqc,47%,0.20%,0.0X,,,,,,0,M2_S2_
M3_S3.sort,,,,94.40%,18.5,0.02%,57.40%,13.2,0.944,M3_S3
M3_S3_BAMqc,49%,0.20%,0.0X,,,,,,0,M3_S3_
M4_S4.sort,,,,94.70%,22.5,0.02%,55.80%,15.4,0.947,M4_S4
M4_S4_BAMqc,49%,0.30%,0.0X,,,,,,0,M4_S4_
M5_S5.sort,,,,95.50%,21.2,0.02%,57.20%,15.6,0.955,M5_S5
M5_S5_BAMqc,48%,0.20%,0.0X,,,,,,0,M5_S5_
M6_S6.sort,,,,96.20%,22.1,0.02%,58.50%,16.1,0.962,M6_S6
M6_S6_BAMqc,48%,0.30%,0.0X,,,,,,0,M6_S6_
M7_S7.sort,,,,94.10%,18.9,0.02%,54.80%,13.1,0.941,M7_S7
M7_S7_BAMqc,48%,0.20%,0.0X,,,,,,0,M7_S7_
M8_S8.sort,,,,95.20%,21.4,0.02%,56.20%,15.3,0.952,M8_S8
M8_S8_BAMqc,48%,0.30%,0.0X,,,,,,0,M8_S8_
M9_S9.sort,,,,81.40%,15.6,0.05%,34.70%,8.6,0.814,M9_S9
M9_S9_BAMqc,51%,0.10%,0.0X,,,,,,0,M9_S9_
N10_S10.sort,,,,96.60%,28.1,0.01%,61.60%,20.7,0.966,N10_S10
N10_S10_BAMqc,49%,0.40%,0.0X,,,,,,0,N10_S10_
N11_S11.sort,,,,95.80%,24.9,0.02%,55.00%,17,0.958,N11_S11
N11_S11_BAMqc,48%,0.30%,0.0X,,,,,,0,N11_S11_
N12_S12.sort,,,,96.00%,28.3,0.01%,59.10%,20.6,0.96,N12_S12
N12_S12_BAMqc,49%,0.40%,0.0X,,,,,,0,N12_S12_
N13_S13.sort,,,,95.50%,27.6,0.01%,60.20%,20,0.955,N13_S13
N13_S13_BAMqc,50%,0.40%,0.0X,,,,,,0,N13_S13_
N14_S14.sort,,,,92.40%,26.7,0.02%,50.50%,17.3,0.924,N14_S14
N14_S14_BAMqc,48%,0.30%,0.0X,,,,,,0,N14_S14_
N15_S15.sort,,,,95.10%,25.6,0.02%,55.10%,17.4,0.951,N15_S15
N15_S15_BAMqc,48%,0.30%,0.0X,,,,,,0,N15_S15_
N16_S16.sort,,,,93.80%,24.1,0.02%,56.20%,17.3,0.938,N16_S16
N16_S16_BAMqc,50%,0.30%,0.0X,,,,,,0,N16_S16_
N17_S17.sort,,,,96.40%,29.4,0.02%,59.90%,21.6,0.964,N17_S17
N17_S17_BAMqc,49%,0.40%,0.0X,,,,,,0,N17_S17_
N1_S1.sort,,,,94.40%,23.2,0.02%,52.10%,15,0.944,N1_S1
N1_S1_BAMqc,48%,0.30%,0.0X,,,,,,0,N1_S1_
N2_S2.sort,,,,94.30%,21.4,0.02%,57.70%,15,0.943,N2_S2
N2_S2_BAMqc,50%,0.30%,0.0X,,,,,,0,N2_S2_
N3_S3.sort,,,,95.50%,22.9,0.02%,58.70%,16.6,0.955,N3_S3
N3_S3_BAMqc,49%,0.30%,0.0X,,,,,,0,N3_S3_
N4_S4.sort,,,,96.30%,28,0.01%,60.70%,20.9,0.963,N4_S4
N4_S4_BAMqc,49%,0.40%,0.0X,,,,,,0,N4_S4_
N5_S5.sort,,,,96.40%,27.7,0.01%,60.10%,20.7,0.964,N5_S5
N5_S5_BAMqc,48%,0.30%,0.0X,,,,,,0,N5_S5_
N6_S6.sort,,,,92.60%,18.2,0.02%,49.50%,11.4,0.926,N6_S6
N6_S6_BAMqc,49%,0.20%,0.0X,,,,,,0,N6_S6_
N7_S7.sort,,,,96.00%,26.2,0.02%,60.80%,19.5,0.96,N7_S7
N7_S7_BAMqc,50%,0.30%,0.0X,,,,,,0,N7_S7_
N8_S8.sort,,,,94.80%,23.2,0.02%,55.20%,16,0.948,N8_S8
N8_S8_BAMqc,49%,0.30%,0.0X,,,,,,0,N8_S8_
