sample_id	Unassigned_335	c__Bacteroidia_257	c__Clostridia_258483_128	d__Bacteria_138	f__Acetobacteraceae	f__Acidaminococcaceae	f__Actinomycetaceae	f__Acutalibacteraceae	f__Aerococcaceae	f__Aeromonadaceae	f__Akkermansiaceae	f__Alteromonadaceae_665222	f__Amphibacillaceae	f__Anaerofustaceae	f__Anaeroplasmataceae	f__Anaerotignaceae	f__Anaerovoracaceae	f__Anoxybacillaceae	f__Atopobiaceae	f__Bacillaceae_H_294103	f__Bacteroidaceae	f__Beijerinckiaceae	f__Bifidobacteriaceae	f__Borkfalkiaceae	f__Burkholderiaceae_A_580492	f__Burkholderiaceae_A_592522	f__Burkholderiaceae_A_595427	f__Butyricicoccaceae	f__CAG-138	f__CAG-239	f__CAG-272	f__CAG-314	f__CAG-508	f__CAG-552	f__CAG-74	f__CAG-917	f__Caulobacteraceae	f__Cellulomonadaceae	f__Cellulosilyticaceae	f__Christensenellaceae	f__Clostridiaceae_222000	f__Coprobacillaceae	f__Coriobacteriaceae	f__DSM-27016_98371	f__DSM-8532	f__Dehalobacteriaceae	f__Desulfovibrionaceae	f__Dialisteraceae	f__Dysgonomonadaceae	f__Eggerthellaceae	f__Enterobacteriaceae_A	f__Enterococcaceae	f__Erysipelotrichaceae	f__Filifactoraceae_235824	f__Fusobacteriaceae_993521	f__Gastranaerophilaceae	f__Gemellaceae	f__Helicobacteraceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Leptotrichiaceae	f__Marinifilaceae	f__Marinilabiliaceae	f__Megasphaeraceae	f__Methanobacteriaceae	f__Microbacteriaceae	f__Micrococcaceae	f__Moraxellaceae	f__Mucispirillaceae	f__Muribaculaceae	f__Mycobacteriaceae	f__Nanosyncoccaceae	f__Neisseriaceae_563222	f__Oscillospiraceae_45227	f__Oscillospiraceae_88309	f__Pasteurellaceae	f__Peptoniphilaceae	f__Peptostreptococcaceae_256921	f__Porphyromonadaceae	f__Pseudomonadaceae	f__QAKW01	f__Rikenellaceae	f__Ruminococcaceae	f__Selenomonadaceae_42771	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Syntrophobotulaceae	f__Tannerellaceae	f__Turicibacteraceae	f__UBA1242	f__UBA1381	f__UBA644	f__UBA660	f__UBA932	f__Vagococcaceae	f__Veillonellaceae	f__Weeksellaceae	f__Xanthobacteraceae_503485	f__Xylanivirgaceae	o__Bacteroidales_464	o__Christensenellales_368	o__Christensenellales_93	o__Clostridiales_255	o__Lachnospirales_145	o__Lachnospirales_232	o__Lachnospirales_359	o__Oscillospirales_323	o__RFN20_396	o___261	p__Firmicutes_A_198	is_treatment	antibiotic	treatment
A2.d0	0.0	0.0	0.0	0.06995675400661408	0.0	0.0	0.0	0.20351055711015004	0.0	0.0	0.0	0.0	0.0	0.0	0.1653523276519969	1.0811498346476722	0.025438819638768755	0.0	0.0	0.0	5.660137369626049	0.0	0.0	0.3625031798524548	0.0	0.0	0.07631645891630628	0.31798524548460944	0.0	0.0	0.0	0.06995675400661408	0.8204019333502924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05087763927753752	0.0	0.0	0.0	0.0	0.6296107860595268	0.3943017044009157	0.0	0.0	0.0	0.0	0.0	0.03815822945815313	0.0	0.0	0.10175527855507502	0.0	0.0	52.65199694734164	0.05723734418722971	0.0	3.237089799033324	0.0	0.0	0.0	0.0	0.0	0.0	2.105062325108115	21.43220554566268	0.0	0.0	0.0	0.0	7.332739760875094	0.0	0.0	0.0	0.0	0.0	0.0	2.4294072755024163	0.45789875349783765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02543881963876876	0.0	0.0	0.050877639277537516	0.10811498346476721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04451793436784533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A3.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09955201592832257	0.0	0.0	0.0	0.0	0.0	0.0	0.09955201592832257	0.0	0.0	0.0	0.0	0.0	29.766052762568446	0.0	0.0	0.0	0.0	0.0	0.2986560477849677	0.0	0.0	0.0	0.0	0.0	0.2239920358387257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17421602787456447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.599800895968143	0.0	0.0	0.7217521154803386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.075161772025886	0.0	0.0	0.0	0.0	0.8959681433549029	0.0	0.0	0.0	0.0	0.0	0.0	0.7217521154803384	0.17421602787456447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14932802389248384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A4.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.991735537190078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.16528925619835	0.0	0.0	0.8264462809917356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.231404958677686	0.0	0.0	0.0	0.0	4.132231404958677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6528925619834711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A5.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.71428571428571	0.0	0.0	0.0	0.43956043956043955	0.0	0.6593406593406593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.175824175824176	0.0	0.0	0.43956043956043955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.69230769230769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8791208791208791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A6.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.19753086419754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6172839506172839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6172839506172839	0.0	0.0	6.481481481481482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.074074074074076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.012345679012346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A7.d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20597322348094746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.833161688980432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.936148300720905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6179196704428424	52.832131822863026	0.0	0.0	0.0	0.0	2.059732234809475	0.0	0.0	0.0	0.0	0.0	0.0	0.5149330587023687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
A8.d0	0.0	0.0	0.0	0.11045330034461427	0.0	0.0	0.0	0.22532473270301315	0.0	0.0	0.0	0.0	0.0	0.0	0.06627198020676858	0.5434302376955024	0.04418132013784572	0.0	0.0	0.0	18.80798798268092	0.0	0.0	0.4241406733233189	0.0	0.0	0.030926924096492003	0.28276044888221263	0.0	0.0	0.0	0.11928956437218344	1.0029159671290977	0.07952637624812228	0.0	0.026508792082707438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2326588318458955	0.7157373862331007	0.0	0.0	0.0	0.0	0.0	0.008836264027569143	0.0	0.0	0.04418132013784572	0.0	0.0	33.79429177343819	0.14579835645489087	0.0	1.6126181850313688	0.0	0.0	0.0	0.0	0.0	0.0	0.9366439869223292	27.42776354157462	0.0	0.0	0.0	0.0	8.588848634797207	0.0	0.0	0.0	0.0	0.0	0.0	2.3151011752231154	1.0250066271980207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22974286471679772	0.12370769638596801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03534505611027657	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
A9.d0	0.0	0.0	0.04607587160190446	0.030717247734602982	0.0	0.0	0.0	0.07679311933650744	0.0	0.0	0.04607587160190446	0.0	0.0	0.0	0.030717247734602982	0.1382276148057134	0.030717247734602982	0.0	0.0	0.0	34.41867608662264	0.0	0.0	0.5221932114882507	0.0	0.0	0.09215174320380892	0.0	0.0	0.0	0.0	0.0	1.1826140377822145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3686069728152357	0.10751036707111043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24573798187682386	0.0	0.0	21.701735524497003	0.32253110121333123	0.0	1.612655506066656	0.0	0.0	0.0	0.0	0.0	0.0	0.4146828444171402	34.34188296728613	0.0	0.0	0.0	0.0	2.4880970665028412	0.0	0.0	0.0	0.0	0.0	0.0	1.2286899093841193	0.18430348640761787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3225311012133313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04607587160190446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
C1.d0	0.0	0.0	0.08768433638899958	0.013285505513484787	0.0	0.0	0.0	0.0185997077188787	0.0	0.0	0.0	0.0	0.0	0.0	0.10096984190248438	0.031885213232363485	0.0	0.0	0.0	0.0	33.84615384615384	0.0	0.0	0.23382489703733222	0.0	0.0	0.247110402550817	0.05048492095124219	0.0	0.029228112129666528	0.0	0.01594260661618174	0.37996545768566486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007971303308090871	0.0	0.0	0.0	0.1355121562375448	0.09565563969709046	0.0	0.0	0.0	0.0	0.0	0.0371994154377574	0.0	0.0	0.15676896505912047	0.0	0.0	5.122890925999733	0.06908462867012088	0.0	0.4384216819449979	0.0	0.0	0.0	0.0	0.0	0.0	0.042513617643151314	55.77520924671183	0.0	0.0	0.0	0.0	1.618174571542447	0.0	0.0	0.0	0.0	0.0	0.0	0.7599309153713298	0.23116779593463527	0.0	0.0	0.0	0.0	0.0	0.031885213232363485	0.0	0.007971303308090871	0.010628404410787828	0.0	0.04517071874584827	0.3294805367344227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01594260661618174	0.0	0.0	0.0	0.0	0.0	0.013285505513484787	PBS	PBS	PO
C10.d0	0.0	0.0	0.0	0.01518910434914688	0.0	0.0	0.0	0.6075641739658751	0.0	0.0	0.5518707913523366	0.0	0.0	0.0	0.03544124348134272	0.04050427826439168	0.0	0.0	0.0	0.0	23.943091489038533	0.0	0.0	0.06075641739658752	0.0	0.0	0.3392233304642802	0.0	0.0	0.0	0.0	0.01518910434914688	0.13163890435927295	0.0	0.0	0.0	0.0	0.0	0.0	0.01012606956609792	0.01518910434914688	0.01518910434914688	0.0	0.0	0.0	0.18733228697281148	0.12657586957622396	0.0	0.0	0.0	0.0	0.0	0.0253151739152448	0.0	0.0	0.0253151739152448	0.0	0.0	6.536377904916207	0.0	0.0	0.1772062174067136	0.0	0.0	0.0	0.0	0.0	0.0	0.07594552174573439	65.48529188395524	0.0	0.0	0.0	0.0	0.643005417447218	0.0	0.0	0.0	0.0	0.0	0.0	0.3544124348134272	0.25315173915244793	0.0	0.0	0.0	0.0	0.0	0.06581945217963647	0.0	0.0	0.01012606956609792	0.0	0.02025213913219584	0.2025213913219584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02025213913219584	0.0	0.01012606956609792	0.0	0.0	0.0	0.0	0.0	0.0	PBS	PBS	IP
